조합,조건수,발생횟수,승리횟수,승률(%),평균수익률(%),구성지표
SMA5>SMA20 + ADX>25 + VolSpike>1.5,3,177,149,84.18,4.17,SMA5>SMA20 + ADX>25 + VolSpike>1.5
Price>SMA20 + Price>SMA50 + MACD>Signal,3,1097,923,84.14,3.58,Price>SMA20 + Price>SMA50 + MACD>Signal
Price>SMA20 + Price>SMA50 + MACD_Hist>0,3,1097,923,84.14,3.58,Price>SMA20 + Price>SMA50 + MACD_Hist>0
Price>SMA50 + Price>EMA20 + MACD_Hist>0,3,1096,922,84.12,3.58,Price>SMA50 + Price>EMA20 + MACD_Hist>0
Price>SMA50 + Price>EMA20 + MACD>Signal,3,1096,922,84.12,3.58,Price>SMA50 + Price>EMA20 + MACD>Signal
SMA10>SMA50 + SMA50>SMA200 + MACD_Hist>0,3,597,502,84.09,4.33,SMA10>SMA50 + SMA50>SMA200 + MACD_Hist>0
SMA10>SMA50 + SMA50>SMA200 + MACD>Signal,3,597,502,84.09,4.33,SMA10>SMA50 + SMA50>SMA200 + MACD>Signal
Price>SMA50 + MACD_Hist>0,2,1100,925,84.09,3.56,Price>SMA50 + MACD_Hist>0
Price>SMA50 + MACD>Signal + MACD_Hist>0,3,1100,925,84.09,3.56,Price>SMA50 + MACD>Signal + MACD_Hist>0
EMA5>EMA20 + Price>SMA50 + MACD>Signal,3,1100,925,84.09,3.56,EMA5>EMA20 + Price>SMA50 + MACD>Signal
EMA5>EMA20 + Price>SMA50 + MACD_Hist>0,3,1100,925,84.09,3.56,EMA5>EMA20 + Price>SMA50 + MACD_Hist>0
Price>SMA50 + MACD>Signal,2,1100,925,84.09,3.56,Price>SMA50 + MACD>Signal
Price>SMA200 + MACD_Hist>0 + VolSpike>1.5,3,138,116,84.06,4.54,Price>SMA200 + MACD_Hist>0 + VolSpike>1.5
Price>SMA200 + MACD>Signal + VolSpike>1.5,3,138,116,84.06,4.54,Price>SMA200 + MACD>Signal + VolSpike>1.5
SMA5>SMA20 + EMA5>EMA20 + MACD_Hist>0,3,1198,1007,84.06,3.5,SMA5>SMA20 + EMA5>EMA20 + MACD_Hist>0
SMA5>SMA20 + EMA5>EMA20 + MACD>Signal,3,1198,1007,84.06,3.5,SMA5>SMA20 + EMA5>EMA20 + MACD>Signal
SMA20>SMA100 + ADX>20_PlusDI>MinusDI + VolSpike>1.5,3,144,121,84.03,4.54,SMA20>SMA100 + ADX>20_PlusDI>MinusDI + VolSpike>1.5
SMA5>SMA20 + Price>SMA200 + MACD>Signal,3,782,657,84.02,3.94,SMA5>SMA20 + Price>SMA200 + MACD>Signal
SMA5>SMA20 + Price>SMA200 + MACD_Hist>0,3,782,657,84.02,3.94,SMA5>SMA20 + Price>SMA200 + MACD_Hist>0
Price>SMA20 + ADX>20_PlusDI>MinusDI + VolSpike>1.5,3,181,152,83.98,4.17,Price>SMA20 + ADX>20_PlusDI>MinusDI + VolSpike>1.5
Price>SMA200 + Price>EMA20 + MACD_Hist>0,3,777,652,83.91,3.98,Price>SMA200 + Price>EMA20 + MACD_Hist>0
Price>SMA200 + Price>EMA20 + MACD>Signal,3,777,652,83.91,3.98,Price>SMA200 + Price>EMA20 + MACD>Signal
ADX>25 + ADX>20_PlusDI>MinusDI + ThreeGreenDays,3,149,125,83.89,3.62,ADX>25 + ADX>20_PlusDI>MinusDI + ThreeGreenDays
Price>SMA50 + Price>SMA200 + MACD_Hist>0,3,757,635,83.88,3.99,Price>SMA50 + Price>SMA200 + MACD_Hist>0
Price>SMA50 + Price>SMA200 + MACD>Signal,3,757,635,83.88,3.99,Price>SMA50 + Price>SMA200 + MACD>Signal
SMA10>SMA50 + MACD_Hist>0 + Stoch_Cross_Up,3,273,229,83.88,3.39,SMA10>SMA50 + MACD_Hist>0 + Stoch_Cross_Up
