조합,지표수,발생횟수,승률,평균수익률,총수익률(누적)
STOCH14_과매도(20이하) + 거래량_증가(1.5배),2,92,0.5435,0.011,0.595
BB_%B_중간반등 + STOCH14_골든크로스 + OBV_SMA위,3,46,0.5435,0.0081,0.2295
BB_하단터치(1.5σ),1,405,0.5432,0.0219,88.9065
BB_하단터치(1.5σ) + BB_%B_과매도(0.2이하),2,405,0.5432,0.0219,88.9065
RSI14_중립반등(40~50) + ADX14_강세(25이상) + ADX14_추세상승(+DI>-DI),3,81,0.5432,0.0146,1.436
RSI7_과매도(25이하) + MACD_히스토_증가 + BB_%B_과매도(0.2이하),3,116,0.5431,0.0365,15.3554
BB_%B_과매도(0.2이하) + STOCH14_과매도(20이하),2,582,0.543,0.0233,1614.6142
가격_SMA50_위 + ADX14_추세상승(+DI>-DI) + 거래량_급증(2배이상),3,35,0.5429,0.0154,0.4944
BB_%B_중간반등 + STOCH14_골든크로스,2,94,0.5426,0.0079,0.4889
가격_SMA200_위 + 가격_SMA50_위 + ADX14_강세(25이상),3,826,0.5424,0.012,152.6763
RSI14_과매도(30이하),1,367,0.5422,0.0286,375.0412
RSI14_과매도(30이하) + RSI14_과매도(35이하),2,367,0.5422,0.0286,375.0412
RSI7_과매도(25이하) + BB_하단터치(1.5σ),2,273,0.5421,0.0238,24.8255
RSI7_과매도(25이하) + BB_하단터치(1.5σ) + BB_%B_과매도(0.2이하),3,273,0.5421,0.0238,24.8255
RSI14_과매도(35이하) + MACD_히스토_증가,2,347,0.5418,0.0338,3314.7784
RSI7_과매도(25이하) + MACD_히스토_증가 + STOCH21_과매도(20이하),3,133,0.5414,0.0372,25.6328
BB_%B_과매도(0.2이하) + STOCH21_과매도(20이하),2,593,0.5413,0.0227,1355.3991
RSI14_중립반등(40~50) + STOCH14_과매도(20이하) + ADX14_강세(25이상),3,85,0.5412,0.0152,1.6639
가격_SMA200_위 + STOCH14_골든크로스 + ADX14_강세(25이상),3,231,0.5411,0.0131,5.3626
가격_SMA200_위 + STOCH14_과매도(20이하) + ADX14_강세(25이상),3,159,0.5409,0.0128,1.3348
RSI14_과매도(30이하) + MACD_히스토_증가 + ADX14_강세(25이상),3,209,0.5407,0.0332,134.1049
BB_%B_과매도(0.2이하) + ADX14_강세(25이상) + 거래량_증가(1.5배),3,37,0.5405,0.0112,0.2579
RSI14_과매도(30이하) + BB_하단터치(1.5σ) + ADX14_강세(25이상),3,113,0.5398,0.0362,5.0191
RSI7_과매도(25이하) + ADX14_강세(25이상),2,302,0.5397,0.032,350.3847
RSI14_과매도(35이하) + MACD_히스토_증가 + ADX14_강세(25이상),3,295,0.539,0.0281,346.4135
RSI14_과매도(30이하) + BB_%B_과매도(0.2이하) + ADX14_강세(25이상),3,193,0.5389,0.0372,49.1205
RSI14_과매도(30이하) + STOCH14_과매도(20이하) + STOCH21_과매도(20이하),3,310,0.5387,0.0295,140.2764
STOCH14_과매도(20이하) + STOCH21_과매도(20이하) + 거래량_증가(1.5배),3,78,0.5385,0.0067,0.0288
SMA20_골든크로스(50) + 가격_SMA200_위 + OBV_SMA위,3,52,0.5385,-0.0043,-0.3434
STOCH14_과매도(20이하) + ADX14_추세상승(+DI>-DI) + OBV_SMA위,3,26,0.5385,0.0176,0.3088
RSI14_과매도(30이하) + STOCH14_과매도(20이하),2,314,0.5382,0.0293,147.5566
