direction,rule,win_rate,count,lift,baseline_wr,symbol,interval
LONG,atr ≤ 0.02262 AND bb_width_48 > 0.01788 AND gold_ret5d ≤ 0.00096 AND vs_sma12 ≤ -0.0439,88.1,42,1.34,65.5,ETHUSDT,1h
SHORT,upper_shadow > 0.32765 AND bb_width_14 > 0.04097 AND hma_9_slope > 0.01095,88.1,177,1.27,69.3,SOLUSDT,5m
LONG,atr > 0.02158 AND vs_sma96 > -0.13803 AND vol_ratio_48 > 0.40437 AND htf_4h_ema50_vs_200 > 0.015 AND ret_12 ≤ -0.0425,88.0,50,1.26,69.7,ADAUSDT,1h
SHORT,htf_4h_atr > 0.03371 AND hour_cos > -0.78657 AND htf_4h_bb_pos_20 ≤ 0.26128 AND stoch_d_14 > 0.19643 AND obv_slope > -0.13393,88.0,100,1.36,64.8,BNBUSDT,1h
LONG,atr7 > 0.01837 AND vol_ratio_24 > 1.16109 AND atr28 > 0.0169 AND lower_shadow ≤ 0.60381 AND atr ≤ 0.02768,87.9,239,1.09,80.5,ADAUSDT,4h
SHORT,atr > 0.0241 AND inside_bar > 0.5 AND vol_12 > 0.01364 AND ret_1 ≤ 0.00356 AND hl_vol > 0.03201,87.9,33,1.12,78.3,XRPUSDT,4h
LONG,atr > 0.02262 AND ret_6 > -0.02564 AND body_ratio > 0.4133 AND atr ≤ 0.03451 AND obv_slope ≤ 0.01448,87.8,49,1.34,65.5,ETHUSDT,1h
SHORT,vol_24 ≤ 0.01782 AND ret_1 > 0.01752 AND body_ratio > 0.55172 AND vs_sma24 ≤ 0.06555 AND htf_4h_adx ≤ 0.26635,87.7,73,1.29,67.9,SOLUSDT,1h
LONG,htf_1h_atr ≤ 0.03925 AND ret_1 ≤ -0.00174 AND lower_shadow ≤ 0.37854 AND bb_width_14 ≤ 0.01499 AND htf_1h_rsi_14 > 0.62373,87.4,103,1.22,71.3,SOLUSDT,5m
LONG,lower_shadow ≤ 0.55941 AND vol_12 > 0.00289 AND fractal_low > 0.5 AND vs_s2 ≤ 1.20057 AND vs_high_20 ≤ -0.01513,87.3,701,1.24,70.3,ADAUSDT,5m
LONG,htf_1h_atr ≤ 0.03925 AND ret_1 ≤ -0.00174 AND lower_shadow ≤ 0.37854 AND bb_width_14 > 0.01499 AND stoch_kd_14 ≤ -0.06682,87.3,608,1.22,71.3,SOLUSDT,5m
SHORT,hl_vol > 0.01886 AND vs_sma48 > -0.04867 AND vol_ratio_12 > 0.90262 AND vol_ratio_48 > 1.46794 AND adx > 0.31033,87.2,78,1.16,75.2,BNBUSDT,4h
SHORT,upper_shadow ≤ 0.35325 AND vs_low_55 > 0.01365 AND elder_bull_slope ≤ 0.0044 AND dxy > 106.265 AND adx_slope > -0.02886,86.9,160,1.24,70.3,ETHUSDT,5m
