side,cond,feat,op,thr,n_tr,wr_tr,edge_tr,n_ho,wr_ho,edge_ho,wl_ho,mean_ho,H,base_ho
SHORT,rsi14 >= 28.04,rsi14,>=,28.043455617993654,351177,54.04795872167026,0.38163405255929206,219312,55.27239731524038,0.5956862005483643,54.81581667541728,0.2393292622905484,3,45.32328888530798
SHORT,dd_from_high >= -23.11,dd_from_high,>=,-23.105081303679462,349314,54.244605140360825,0.5782804712498546,232699,55.2576504411278,0.5809393264357823,54.81439647457138,0.26047020845711705,3,45.32328888530798
SHORT,bb_pos >= 0.1488,bb_pos,>=,0.14881934600094393,331472,54.400673360042475,0.7343486909315047,206628,55.276632402191375,0.599921287499356,54.806237957243184,0.2102066832635158,3,45.32328888530798
SHORT,vs_ma200 >= -15.82,vs_ma200,>=,-15.81901802323318,324434,52.70871733542107,0.24416013696952632,211606,55.2682816177235,1.1205154331366245,54.80345056853475,0.4001686229406815,10,45.85223381541312
SHORT,vs_ma20 >= -5.96,vs_ma20,>=,-5.959893915079806,350970,53.46810268683934,0.7755755466467775,228117,55.2492799747498,0.6603906382473568,54.80158536702194,0.2799814026435233,5,45.41111066349756
LONG,body_pct <= -5.536,body_pct,<=,-5.535597056285856,7817,53.98490469489574,7.65122936400671,2067,59.4581519109821,14.134863025674122,54.754557719636146,1.8458370187750395,3,45.32328888530798
SHORT,range_pct <= 4.872,range_pct,<=,4.871794871794876,312673,54.452095320030836,0.785770650919865,221778,55.19393267141015,0.517221556718134,54.7398309925474,0.267895522910723,3,45.32328888530798
SHORT,bb_pos >= 0.1488,bb_pos,>=,0.14881934600094393,331472,53.599399044263166,0.9068719040706057,206547,55.20777353338465,0.6188841968822132,54.73722431285716,0.23394308145658388,5,45.41111066349756
SHORT,vs_ma50 >= -13.71,vs_ma50,>=,-13.707850556188426,369157,54.05911306029684,0.39278839118586717,240251,55.14482770102934,0.4681165863373238,54.70850714400425,0.25682004041948153,3,45.32328888530798
SHORT,bb_width <= 20.04,bb_width,<=,20.04408902385585,311973,54.08961672965289,0.42329206054191815,218734,55.15146250697194,0.47475139227992,54.69417225740267,0.2675902189824811,3,45.32328888530798
SHORT,size_vs_atr <= 0.6141,size_vs_atr,<=,0.6140949459732766,78049,55.74190572589015,2.0755810567791784,49006,55.65645023058401,0.9797391158919879,54.69033569544123,0.2567663113906547,3,45.32328888530798
LONG,cc_ret <= -5.533,cc_ret,<=,-5.53339027127606,7816,55.48874104401228,11.32346667412785,2073,59.382537385431746,16.79582345077437,54.685133891125524,0.9311777949335746,1,42.586713934657375
SHORT,dd_from_high >= -23.11,dd_from_high,>=,-23.105081303679462,349314,53.308198354489086,0.6156712142965262,232607,55.10539235706579,0.5165030205633485,54.661921444851515,0.2942281537015508,5,45.41111066349756
LONG,body_pct <= -5.536,body_pct,<=,-5.535597056285856,7817,55.46884994243316,11.30357557254873,2067,59.361393323657474,16.7746793890001,54.65692694584568,0.9222637910679116,1,42.586713934657375
SHORT,vol_ratio <= 0.5491,vol_ratio,<=,0.5490942584109532,77994,54.92858425007052,2.4640270516189773,55240,55.546705286024626,1.3989391014377475,54.63664473857121,0.5804089230641986,10,45.85223381541312
