entry_time,direction,entry,exit,exit_type,pnl_pct,win,prob
2024-02-21,LONG,51875.31,51719.69,sl,-0.004,0,0.8831
2024-02-22,LONG,51314.06,51160.12,sl,-0.004,0,0.8677
2024-02-23,SHORT,50718.78,50870.93,sl,-0.003991,0,0.8529
2024-02-24,SHORT,51542.44,51284.72,tp,0.004025,1,0.9039
2024-02-25,SHORT,51702.99,51444.47,tp,0.004025,1,0.847
2024-02-26,LONG,54503.71,54776.23,tp,0.004,1,0.8407
2024-02-27,LONG,57065.86,57351.19,tp,0.004,1,0.9032
2024-02-28,SHORT,62400.88,62088.88,tp,0.004025,1,0.9517
2024-02-29,SHORT,61100.41,60794.91,tp,0.004025,1,0.9209
2024-03-01,SHORT,62356.71,62044.92,tp,0.004025,1,0.9405
2024-03-02,LONG,62018.27,62328.37,tp,0.004,1,0.8831
2024-03-03,SHORT,63082.41,62767.0,tp,0.004025,1,0.8781
2024-03-04,SHORT,68211.59,67870.53,tp,0.004025,1,0.9488
2024-03-05,SHORT,63692.15,63373.69,tp,0.004025,1,0.9467
2024-03-06,SHORT,66041.0,65710.8,tp,0.004025,1,0.9352
2024-03-07,LONG,66856.58,67190.86,tp,0.004,1,0.8733
2024-03-08,SHORT,68090.13,68294.4,sl,-0.003991,0,0.9438
2024-03-09,SHORT,68279.11,68483.95,sl,-0.003991,0,0.8875
2024-03-10,SHORT,68921.4,68576.8,tp,0.004025,1,0.9139
2024-03-11,SHORT,72042.06,71681.85,tp,0.004025,1,0.9449
2024-03-12,SHORT,71416.28,71630.53,sl,-0.003991,0,0.8961
2024-03-13,SHORT,73035.87,72670.69,tp,0.004025,1,0.9376
2024-03-14,SHORT,71353.25,70996.48,tp,0.004025,1,0.9459
2024-03-15,SHORT,69465.1,69117.77,tp,0.004025,1,0.9441
2024-03-16,SHORT,65267.98,64941.64,tp,0.004025,1,0.9449
2024-03-17,SHORT,68359.28,68017.49,tp,0.004025,1,0.9454
2024-03-18,LONG,67643.79,67982.01,tp,0.004,1,0.8984
2024-03-19,SHORT,61906.43,61596.9,tp,0.004025,1,0.9393
2024-03-20,SHORT,67806.59,67467.56,tp,0.004025,1,0.955
2024-03-21,SHORT,65468.52,65141.18,tp,0.004025,1,0.9232
2024-03-22,SHORT,63764.74,63445.92,tp,0.004025,1,0.921
2024-03-23,LONG,64022.01,64342.12,tp,0.004,1,0.8786
2024-03-24,SHORT,67176.39,66840.5,tp,0.004025,1,0.9284
2024-03-25,SHORT,69845.07,69495.84,tp,0.004025,1,0.9516
2024-03-26,SHORT,69953.01,69603.24,tp,0.004025,1,0.9065
2024-03-27,LONG,69504.72,69852.25,tp,0.004,1,0.8983
2024-03-28,SHORT,70745.21,70391.48,tp,0.004025,1,0.8658
2024-03-29,SHORT,69815.61,70025.06,sl,-0.003991,0,0.9202
2024-03-30,SHORT,69547.39,69756.03,sl,-0.003991,0,0.8829
2024-03-31,SHORT,71244.37,70888.15,tp,0.004025,1,0.9197
2024-04-01,SHORT,69614.98,69266.9,tp,0.004025,1,0.9029
2024-04-02,SHORT,65431.26,65104.1,tp,0.004025,1,0.9331
2024-04-03,LONG,65996.26,66326.24,tp,0.004,1,0.8779
2024-04-04,SHORT,68453.55,68111.28,tp,0.004025,1,0.8561
2024-04-05,SHORT,67786.71,67990.07,sl,-0.003991,0,0.8796
2024-04-06,SHORT,68861.55,69068.14,sl,-0.003991,0,0.8987
2024-04-07,SHORT,69325.71,69533.69,sl,-0.003991,0,0.809
2024-04-08,SHORT,71584.19,71226.27,tp,0.004025,1,0.8998
2024-04-09,SHORT,69111.43,68765.87,tp,0.004025,1,0.9248
2024-04-10,SHORT,70595.76,70242.79,tp,0.004025,1,0.9291
2024-04-11,LONG,70041.23,70391.44,tp,0.004,1,0.8393
2024-04-12,SHORT,67082.96,66747.55,tp,0.004025,1,0.9024
2024-04-13,SHORT,63892.55,63573.09,tp,0.004025,1,0.9368
2024-04-14,SHORT,65629.01,65300.86,tp,0.004025,1,0.944
