feature,bin,n_train,edge_train,n_hold,edge_hold,wr_hold,wr_lo,wr_hi,mean_hold,group,same_sign,abs_hold
vs_ma50,"(18.549, 34.424]",6293,6.031086081616264,2374,2.9669079454356497,37.53159224936816,35.60540551060248,39.49806647844842,2.4232052085149447,[B]지표,True,2.9669079454356497
vs_ma50,"(34.424, 876.028]",6293,17.412281568613597,1847,-0.7914613674721532,34.325933946940985,32.19510749585785,36.52182646542766,-1.3351641043928584,[B]지표,False,0.7914613674721532
vol_ratio,"(0.036199999999999996, 0.466]",6431,-0.8492606604669275,4394,-3.9862994224346866,33.27264451524807,31.8945618779093,34.679950491976875,-4.530002159355392,[B]지표,True,3.9862994224346866
vol_ratio,"(0.466, 0.579]",6431,-0.8657298487355316,4080,-2.565684923014723,36.83823529411765,35.37112178697135,38.33011089551076,-3.109387659935428,[B]지표,True,2.565684923014723
vol_ratio,"(0.579, 0.677]",6431,-0.3274710563174841,4119,-2.0392032913578433,38.45593590677348,36.98163276997198,39.951752204119664,-2.5829060282785483,[B]지표,True,2.0392032913578433
vol_ratio,"(0.677, 0.77]",6430,-0.874602795643912,3961,-1.147139546411434,40.04039383993941,38.52483121249557,41.575256518625906,-1.690842283332139,[B]지표,True,1.147139546411434
vol_ratio,"(0.77, 0.87]",6431,-0.41100161755864395,3837,-0.4855588027960328,42.84597341673182,41.28808743797158,44.418170273879895,-1.029261539716738,[B]지표,True,0.4855588027960328
vol_ratio,"(0.87, 0.986]",6431,-0.7731472135250783,4074,0.4863049766152575,42.58713794796269,41.076409533152564,44.111833188192975,-0.057397760305447645,[B]지표,False,0.4863049766152575
vol_ratio,"(0.986, 1.129]",6430,-0.32781641576191234,3986,1.4990502269766233,43.878575012543905,42.344641651001204,45.42429634393073,0.955347490055918,[B]지표,False,1.4990502269766233
vol_ratio,"(1.129, 1.343]",6431,-0.038127731433560186,4305,1.7950742558144754,42.555168408826944,41.08548141736762,44.038130460126304,1.2513715188937702,[B]지표,False,1.7950742558144754
vol_ratio,"(1.343, 1.752]",6431,0.8872215298041652,4111,1.9802897416979977,41.571393821454635,40.07336494560762,43.08516052472883,1.4365870047772926,[B]지표,True,1.9802897416979977
vol_ratio,"(1.752, 15.988]",6431,3.579748837284434,3587,5.292771651510382,43.49038193476443,41.875835695130284,45.118856579794894,4.749068914589676,[B]지표,True,5.292771651510382
streak,"(-14.001, -3.0]",6786,-1.5135648595690503,5587,1.4209314737800864,44.370860927152314,43.072403505317425,45.677054179192886,0.8772287368593813,[C]모양,False,1.4209314737800864
streak,"(-3.0, -2.0]",8184,-0.9166795597525015,5508,-0.3820352629826126,40.64996368917937,39.35973783813503,41.95322296973723,-0.9257379999033177,[C]모양,True,0.3820352629826126
streak,"(-2.0, -1.0]",17575,-0.3287649426689834,10133,-0.8121763953929128,39.711832626073225,38.76318902308103,40.668274126150784,-1.355879132313618,[C]모양,True,0.8121763953929128
streak,"(0.5, 1.0]",17564,-0.6857641053978476,10129,-0.5153646286515151,39.77687827031296,38.82775823249916,40.733749962793276,-1.0590673655722203,[C]모양,True,0.5153646286515151
streak,"(1.0, 2.0]",8159,0.5251515646119618,4855,0.32152367946645843,39.938208032955714,38.56898434688818,41.323342252110216,-0.2221790574542467,[C]모양,True,0.32152367946645843
streak,"(2.0, 3.0]",3733,2.5884955453503293,2324,0.7785803543842136,38.51118760757315,36.553219464803746,40.50707535938017,0.23487761746350838,[C]모양,True,0.7785803543842136
streak,"(3.0, 15.0]",3135,6.962249595491307,1919,2.2120894295090667,39.55184992183429,37.38708201251135,41.75836605767809,1.6683866925883617,[C]모양,True,2.2120894295090667
